,Unnamed: 0,id,organization_id,name,type,age,gender,size,url,city,state,zip code,country
1051,1088.0,70488680.0,NV26,A0186648,Cat,Senior,Female,Medium,https://www.petfinder.com/cat/a0186648-70488680/nv/las-vegas/the-animal-foundation-nv26/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd, houston, TX, 77066, US
1053,1090.0,70488682.0,NV26,ROLLY,Dog,Young,Male,Medium,https://www.petfinder.com/dog/rolly-70488682/nv/las-vegas/the-animal-foundation-nv26/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd, Winona, MN, 55987, US
1054,1091.0,70488683.0,NV26,HOWIE,Dog,Young,Male,Large,https://www.petfinder.com/dog/howie-70488683/nv/las-vegas/the-animal-foundation-nv26/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd, Lebanon, OH, 45036, US
1055,1092.0,70488684.0,NV26,VIRGO,Dog,Adult,Male,Large,https://www.petfinder.com/dog/virgo-70488684/nv/las-vegas/the-animal-foundation-nv26/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd, Puyallup, WA, 98375, US
1056,1093.0,70488685.0,NV26,PETER,Dog,Young,Male,Large,https://www.petfinder.com/dog/peter-70488685/nv/las-vegas/the-animal-foundation-nv26/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd, PALM BAY, FL, 32909, US
1057,1094.0,70488686.0,NV26,IAN,Dog,Young,Male,Large,https://www.petfinder.com/dog/ian-70488686/nv/las-vegas/the-animal-foundation-nv26/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd, Buffalo, NY, 14203, US
1058,1095.0,70488687.0,NV26,JUNEBUG,Dog,Baby,Male,Small,https://www.petfinder.com/dog/junebug-70488687/nv/las-vegas/the-animal-foundation-nv26/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd, Marion, NC, 28752, US
1059,1096.0,70488688.0,NV26,SCOOTER,Dog,Baby,Male,Small,https://www.petfinder.com/dog/scooter-70488688/nv/las-vegas/the-animal-foundation-nv26/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd, Joliet, IL, 60435, US
1060,1097.0,70488689.0,NV26,BINGO,Dog,Young,Male,Medium,https://www.petfinder.com/dog/bingo-70488689/nv/las-vegas/the-animal-foundation-nv26/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd, Indiana, PA, 15701, US
1061,1098.0,70488678.0,IL1014,BITSY,Cat,Baby,Female,Small,https://www.petfinder.com/cat/bitsy-70488678/il/carthage/hearts-of-hancock-humane-society-il1014/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd, Prescott, AZ, 86301, US
