,id,organization_id,name,type,age,gender,size,city,state,url
254,70489778.0,OR177,Memphis,Dog,Young,Male,Large, Matteson, IL,https://www.petfinder.com/dog/memphis-70489778/or/salem/marion-county-dog-shelter-or177/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd
255,70489779.0,OR177,Rook,Dog,Young,Male,Large, Matteson, IL,https://www.petfinder.com/dog/rook-70489779/or/salem/marion-county-dog-shelter-or177/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd
256,70489777.0,NC1192,Stanley,Dog,Adult,Male,Extra Large, Matteson, IL,https://www.petfinder.com/dog/stanley-70489777/ok/midwest-city/misfit-mountain-nc1192/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd
257,70489774.0,FL252,TENDER HEART,Dog,Young,Female,Medium, Matteson, IL,https://www.petfinder.com/dog/tender-heart-70489774/fl/fort-lauderdale/broward-county-animal-care-and-adoption-fl252/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd
258,70489770.0,NY1570,Evelyn,Cat,Baby,Female,Medium, Matteson, IL,https://www.petfinder.com/cat/evelyn-70489770/ny/brooklyn/brooklyn-animal-rescue-ny1570/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd
259,70489766.0,NY245,Pilar,Dog,Adult,Female,Medium, Matteson, IL,https://www.petfinder.com/dog/pilar-70489766/ny/new-york/stray-from-the-heart-ny245/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd
260,70489765.0,MI340,Zeus,Dog,Adult,Male,Large, Matteson, IL,https://www.petfinder.com/dog/zeus-70489765/mi/jackson/cascades-humane-society-mi340/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd
261,70489767.0,SK14,Freddy,Cat,Young,Male,Small, Matteson, IL,https://www.petfinder.com/cat/freddy-70489767/sk/north-battleford/battlefords-humane-society-sk14/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd
262,70489764.0,NC1192,Charlie,Dog,Adult,Male,Medium, Matteson, IL,https://www.petfinder.com/dog/charlie-70489764/nc/clyde/misfit-mountain-nc1192/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd
263,70489763.0,VA28,Rinestone Cowboy,Dog,Young,Male,Large, Carthage, IL,https://www.petfinder.com/dog/rinestone-cowboy-70489763/va/gloucester/gloucester-animal-control-outreach-program-va28/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd
264,70489757.0,IL976,TOJI,Dog,Baby,Female,Large, Newberg, OR,https://www.petfinder.com/dog/toji-70489757/il/gilberts/project-hope-animal-rescue-il976/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd
265,70489758.0,IL976,BEAST,Dog,Baby,Female,Large, Newberg, OR,https://www.petfinder.com/dog/beast-70489758/il/gilberts/project-hope-animal-rescue-il976/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd
