,id,organization_id,state,name,type,age,gender,size,url
264,70489757,IL976,IL,TOJI,Dog,Baby,Female,Large,https://www.petfinder.com/dog/toji-70489757/il/gilberts/project-hope-animal-rescue-il976/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd
265,70489758,IL976,IL,BEAST,Dog,Baby,Female,Large,https://www.petfinder.com/dog/beast-70489758/il/gilberts/project-hope-animal-rescue-il976/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd
266,70489759,IL976,IL,MIRACLE,Dog,Baby,Female,Large,https://www.petfinder.com/dog/miracle-70489759/il/gilberts/project-hope-animal-rescue-il976/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd
267,70489752,NC1066,NC,Marigold,Dog,Young,Female,Medium,https://www.petfinder.com/dog/marigold-70489752/nc/concord/cabarrus-county-animal-shelter-nc1066/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd
268,70489753,NC1066,NC,Ewok,Dog,Baby,Male,Medium,https://www.petfinder.com/dog/ewok-70489753/nc/concord/cabarrus-county-animal-shelter-nc1066/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd
269,70489754,IL976,IL,BRECK,Dog,Baby,Female,Large,https://www.petfinder.com/dog/breck-70489754/il/gilberts/project-hope-animal-rescue-il976/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd
270,70489755,IL976,IL,Tracy,Dog,Baby,Female,Large,https://www.petfinder.com/dog/tracy-70489755/il/gilberts/project-hope-animal-rescue-il976/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd
271,70489756,IL976,IL,LUCY,Dog,Baby,Female,Large,https://www.petfinder.com/dog/lucy-70489756/il/gilberts/project-hope-animal-rescue-il976/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd
272,70489751,NC1192,NC,Willie,Dog,Senior,Male,Large,https://www.petfinder.com/dog/willie-70489751/nc/clyde/misfit-mountain-nc1192/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd
273,70489740,IL157,IL,Tiffany,Cat,Adult,Female,Small,https://www.petfinder.com/cat/tiffany-70489740/il/matteson/south-suburban-humane-society-il157/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd
274,70489741,IL157,IL,Finesse,Cat,Adult,Female,Medium,https://www.petfinder.com/cat/finesse-70489741/il/matteson/south-suburban-humane-society-il157/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd
275,70489742,IL157,IL,Elijah,Cat,Baby,Female,Small,https://www.petfinder.com/cat/elijah-70489742/il/matteson/south-suburban-humane-society-il157/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd
276,70489743,IL157,IL,Angela,Cat,Young,Female,Small,https://www.petfinder.com/cat/angela-70489743/il/matteson/south-suburban-humane-society-il157/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd
277,70489744,IL157,IL,Bond,Cat,Adult,Male,Large,https://www.petfinder.com/cat/bond-70489744/il/matteson/south-suburban-humane-society-il157/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd
278,70489745,IL157,IL,Phoebe,Dog,Baby,Female,Small,https://www.petfinder.com/dog/phoebe-70489745/il/matteson/south-suburban-humane-society-il157/?referrer_id=7ce2fffe-d69d-41b9-a989-d0e245bd21fd&utm_source=api&utm_medium=partnership&utm_content=7ce2fffe-d69d-41b9-a989-d0e245bd21fd
